i roll pitch yaw
230 -0.2892463 0.0072239563 -0.039734367 
231 -0.29026595 0.014069086 -0.038087863 
232 -0.29266453 0.009485753 -0.035724103 
233 -0.2951581 0.0047209277 -0.03326674 
234 -0.29731184 0.0006054011 -0.031144243 
235 -0.30032146 -0.0051455707 -0.028178295 
236 -0.30257228 0.0010129106 -0.02650828 
237 -0.30468068 0.0067816786 -0.024943944 
238 -0.30598503 0.010350497 -0.023976175 
239 -0.30749887 0.014492543 -0.022852963 
240 -0.3092775 0.019359045 -0.021533297 
241 -0.310567 0.022887237 -0.020576546 
242 -0.31356815 0.023448138 -0.021966096 
243 -0.3171455 0.024116728 -0.023622435 
244 -0.3216886 0.024965815 -0.025725925 
245 -0.32644275 0.025854347 -0.027927136 
246 -0.33024883 0.026565688 -0.029689379 
247 -0.33123726 0.026508765 -0.030669665 
248 -0.33205596 0.026461616 -0.031481642 
249 -0.33315992 0.026398038 -0.03257653 
250 -0.33456936 0.02631687 -0.03397437 
251 -0.3355213 0.026262049 -0.034918476 
252 -0.3357938 0.025517689 -0.036548663 
253 -0.33600032 0.024953479 -0.037784312 
254 -0.33628073 0.02418751 -0.03946182 
255 -0.33653885 0.023482408 -0.041006032 
256 -0.3368774 0.022557572 -0.043031473 
257 -0.34592807 0.028603848 -0.043840144 
258 -0.3503419 0.031552494 -0.044234518 
259 -0.35510144 0.03473209 -0.04465978 
260 -0.36085668 0.038576867 -0.045174006 
261 -0.36253124 0.039805703 -0.04585379 
262 -0.36451432 0.04126095 -0.046658825 
263 -0.36617425 0.042479064 -0.047332678 
264 -0.36743522 0.043404404 -0.04784457 
265 -0.36750668 0.04293051 -0.047969002 
266 -0.36760265 0.04229426 -0.048136067 
267 -0.3676741 0.041820373 -0.048260495 
268 -0.36775866 0.04125986 -0.04840767 
269 -0.36832917 0.03894657 -0.04933331 
270 -0.36880696 0.037009254 -0.05010851 
271 -0.3690942 0.03584454 -0.05057456 
272 -0.3694763 0.034295227 -0.0511945 
273 -0.36986464 0.03272048 -0.051824618 
274 -0.3722341 0.032330967 -0.052210663 
275 -0.37520564 0.03184248 -0.0526948 
276 -0.37818575 0.031352587 -0.053180337 
277 -0.38332358 0.032163195 -0.05131247 
278 -0.39145616 0.033446293 -0.048355855 
279 -0.3972688 0.034363367 -0.046242658 
280 -0.4030454 0.029838355 -0.0428544 
281 -0.40736836 0.026452007 -0.04031875 
282 -0.41300237 0.022038694 -0.037014127 
283 -0.41828093 0.02155345 -0.033944946 
284 -0.42392996 0.021034148 -0.030660357 
285 -0.42660114 0.020788591 -0.029107215 
286 -0.42919576 0.020550072 -0.027598584 
287 -0.43443373 0.020068558 -0.024553005 
288 -0.4341996 0.017394114 -0.023064723 
289 -0.4338841 0.013790105 -0.021059154 
290 -0.43361586 0.010725662 -0.019353844 
291 -0.43340144 0.00827604 -0.017990671 
292 -0.43316036 0.0055223466 -0.016458288 
293 -0.4347335 0.004800624 -0.014472307 
294 -0.43695223 0.0037827245 -0.011671327 
295 -0.438362 0.003135953 -0.00989159 
296 -0.43965915 0.0025408543 -0.008254042 
297 -0.44096997 0.0019394814 -0.0065992298 
298 -0.43919158 0.0031816429 -0.00666457 
299 -0.43677896 0.00486681 -0.006753213 
300 -0.43494305 0.006149155 -0.0068206666 
301 -0.43282202 0.0076306416 -0.0068985955 
302 -0.42891544 0.010359303 -0.007042128 
303 -0.42940724 0.009196983 -0.0073498935 
304 -0.429813 0.008238014 -0.0076038144 
305 -0.43019596 0.0073328796 -0.00784348 
306 -0.43062532 0.006318109 -0.008112177 
307 -0.43101385 0.00539982 -0.008355327 
308 -0.4345547 0.007877694 -0.007977469 
309 -0.43728784 0.00979034 -0.0076858043 
310 -0.43981376 0.011557976 -0.007416253 
311 -0.4422037 0.013230449 -0.007161213 
312 -0.4456111 0.015614932 -0.006797597 
313 -0.44764945 0.019816674 0.007377309 
314 -0.4502448 0.025166623 0.02542578 
315 -0.45232594 0.029456548 0.03989818 
316 -0.4569019 0.038889207 0.071720004 
317 -0.45609146 0.03881377 0.096237786 
318 -0.45509213 0.038720753 0.1264697 
319 -0.45443946 0.03866 0.14621475 
320 -0.45352173 0.038574576 0.17397855 
321 -0.45248747 0.03847831 0.20526664 
322 -0.45268783 0.039571017 0.23270503 
323 -0.45282942 0.04034318 0.2520945 
324 -0.45300853 0.041319955 0.27662188 
