i steerAngle sensorAngle maxSpeed sensorSpeed cameraPosX cameraPosY cameraPosZ cameraOriX cameraOriY cameraOriZ cameraOriW imuGyroX imuGyroY imuGyroZ imuAccX imuAccY imuAccZ imuMagX imuMagY imuMagZ deltaTime cameraConfidence
41 0 0 19.0 0.0 0.00045183382 -4.9618655e-5 -1.8447522e-6 9.1132846e-5 0.0 0.0 -0.0 1.0 -0.027794369 0.0031497958 -0.021456555 0.01552 0.05246 1.01843 0.16665 0.04233 0.25831 0.02923894 0.89
42 0 0 19.0 0.0 0.00053803815 -1.6909085e-5 -3.410555e-6 9.221471e-5 0.00012207031 0.00012207031 -0.0 1.0 -0.027794369 0.0031497958 -0.021456555 0.01552 0.05246 1.01843 0.16665 0.04233 0.25831 0.02780199 0.89
43 0 0 19.0 0.0 0.00056944566 -8.284761e-6 1.3452763e-5 3.6676716e-5 0.0 0.0 -0.0 1.0 -0.027794369 0.0031497958 -0.021456555 0.01552 0.05246 1.01843 0.16665 0.04233 0.25831 0.029520988 0.89
44 0 0 19.0 0.0 0.0006292892 1.4581252e-5 1.2334822e-5 6.407302e-5 0.0 0.0 -0.0 1.0 -0.027794369 0.0031497958 -0.021456555 0.01552 0.05246 1.01843 0.16665 0.04233 0.25831 0.029073 0.88
45 0 0 19.0 0.0 0.000658504 2.6014302e-5 1.9418236e-5 3.2162017e-5 0.0 0.0 -0.0 1.0 -0.027794369 0.0031497958 -0.021456555 0.01552 0.05246 1.01843 0.16665 0.04233 0.25831 0.029528141 0.88
46 0 0 19.0 0.0 0.0007129578 4.992789e-5 1.5462898e-5 5.9604692e-5 0.0 0.0 -0.0 1.0 -0.027794369 0.0031497958 -0.021456555 0.01552 0.05246 1.01843 0.16665 0.04233 0.25831 0.030577898 0.88
47 0 0 19.0 0.0 0.00074030756 5.1193463e-5 2.8411736e-5 3.0286661e-5 0.0 0.0 -0.0 1.0 -0.02724075 0.004276057 -0.01863139 0.01094 0.05414 1.01515 0.169 0.04428 0.26146 0.030431032 0.88
48 0 0 19.0 0.0 0.00079626875 7.0809336e-5 2.7489532e-5 5.9306778e-5 0.0 0.0 -0.0 1.0 -0.02724075 0.004276057 -0.01863139 0.01094 0.05414 1.01515 0.169 0.04428 0.26146 0.029583931 0.87
49 0 0 19.0 0.0 0.0008174779 7.895656e-5 2.1405625e-5 2.3520544e-5 0.00012207031 0.00012207031 -0.0 1.0 -0.02724075 0.004276057 -0.01863139 0.01094 0.05414 1.01515 0.169 0.04428 0.26146 0.033154964 0.87
50 0 0 19.0 0.0 0.0008224251 8.0747624e-5 2.5283061e-5 6.5358813e-6 0.0 0.0 -0.0 1.0 -0.02724075 0.004276057 -0.01863139 0.01094 0.05414 1.01515 0.169 0.04428 0.26146 0.02968216 0.88
